id,code,name_ch,name_en
50334370,AAH,多哈艾阿里,Al Ahli Doha
50000083,AAJ,吉達艾阿里,Al Ahli Jeddah
50334363,AHM,艾阿里麥納麥,Al Ahli Manama
50000084,AIA,艾阿里,Al Ahly
50000085,AIN,艾阿恩,Al Ain
50357016,AIS,沙特艾阿恩,Al Ain Saudi
50000086,AAD,多哈艾阿拉比,Al Arabi Doha
50357008,AZR,歐奈宰艾阿拉比,Al Arabi Unaizah
50482780,ABH,艾巴塔,Al Bataeh
50357009,ABT,艾巴騰,Al Batin
50538600,ABD,艾比達,Al Bidda
50357014,ABK,艾布基里耶,Al Bukiryah
50482783,ADF,艾迪哈夫拉,Al Dhafra
50000087,LKH1,艾杜哈尼,Al Duhail
50000088,AEQ,伊蒂法克,Al Ettifaq
50000089,FAM,艾費薩里安曼,Al Faisaly Amman
50000090,AFS,費薩里FC,Al Faisaly FC
50000091,ALF,艾法特,Al Fateh
50289793,AFH,艾費哈,Al Fayha
50000092,ARF,艾加拉法,Al Gharafa
50357011,AHZ,艾哈森,Al Hazem
50000093,ALH,艾希迪,Al Hidd
50000094,HLL,希拉爾,Al Hilal
50472625,Q99,希拉爾-國際邁亞密,Al Hilal-Inter Miami CF
50472626,O46,希拉爾-蒙特雷,Al Hilal-Monterrey
50334359,AIB,艾侯賽因伊比,Al Hussein Irbid
50000095,AIT,伊蒂哈德,Al Ittihad
50357015,AJL,艾查巴萊,Al Jabalain
50000096,AJS,艾查殊SC,Al Jaish SC
50357013,AJD,艾真達爾,Al Jandal
50000097,AJA,艾查捷拉,Al Jazira
50536403,ALJ,艾朱拜勒,Al Jubail
50000098,KRM,卡拉馬,Al Karamah
50334361,AKD,艾卡列迪亞,Al Khaldiya
50334373,AKJ,卡赫利,Al Khaleej
50456853,AAY,艾卡列迪耶夫,Al Kharaitiyat
50334374,AOO,艾科魯特,Al Kholood
50334371,AKH,艾科爾,Al Khor
50538601,AMK,艾馬希亞,Al Markhiya
50462423,ARQ,艾慕哈瑞克,Al Muharraq
50000099,ANH,艾拿達,Al Nahda
50357017,ANJ,艾拿積馬,Al Najma
50000100,ANS,阿爾納沙,Al Nasr SC
50000101,ANR,艾納斯,Al Nassr
50544242,NWA,艾納斯女足,Al Nassr Women
50334375,AOD,艾科多,Al Okhdood
50334376,AOH,艾奧魯巴,Al Orobah
50000102,AQS,艾卡迪斯亞,Al Qadsia
50334377,AQA,艾卡迪沙,Al Qadsiah
50334378,ARB,艾拉德,Al Raed
50000103,ARN,艾雷恩,Al Rayyan
50000104,AFF,阿爾列法,Al Riffa
50334379,RYH,艾利雅德,Al Riyadh
50000105,ASD,艾薩德,Al Sadd
50357020,ASF,艾沙法,Al Safa
50000106,ASL,艾塞利亞,Al Sailiya
50289798,AEB,艾席貝,Al Seeb
50000107,ASH,艾沙比,Al Shabab
50000108,ABB,艾沙比阿拉比,Al Shabab Al Arabi
50334372,AHH,艾沙哈尼亞,Al Shahania
50334369,AHA,艾沙瑪,Al Shamal
50000109,AHR,SC艾索達,Al Shorta SC
50000110,ATW,艾塔亞文,Al Taawoun
50357010,TAI,艾泰爾,Al Tai
50538602,WAB,艾華比,Al Waab
50000111,AWD,阿爾華達,Al Wahda
50289795,AWK,艾華卡拉,Al Wakrah
50000112,AWS,艾華斯爾,Al Wasl
50000113,AWA,艾維達,Al Wehda
50000114,AWH,艾華達,Al Wehdat
50000115,AZW,艾祖拉,Al Zawra'a
50540589,AZI,艾祖爾菲,Al Zulfi
50000116,AJU,阿拉祖蘭斯,Alajuelense
50000117,AVK,阿蘭尼亞,Alania Vladikavkaz
50000118,AYP,艾蘭亞,Alanyaspor
50000119,ALK,艾拉斯克特,Alashkert
50000120,ALS,艾拉維斯,Alaves
50000121,ALB,阿爾巴塞特,Albacete
50000122,ALA,阿爾巴尼亞,Albania
50000123,ALY,阿爾巴尼亞U21,Albania U21
50303164,ALW,阿爾巴尼亞女足,Albania Women
50362147,WAG,艾伯加里亞女足,Albergaria Women
50000124,ALI,阿爾比,Albi
50000125,ABF,艾賓奴列夫,Albinoleffe
50562874,ANF,艾比安FC,Albion FC
50000126,ABR,艾比安流浪,Albion Rovers
50000127,ALR,新潟天鵝,Albirex Niigata
50355585,AWN,新潟天鵝女足,Albirex Niigata Women
50000128,AON,艾高干,Alcorcon
50000129,ACY,艾高恩奴,Alcoyano
50000130,ALD,艾迪索特,Aldershot
50000131,AVI,阿度斯維,Aldosivi
50000132,ACN,阿倫干,Alencon
50313296,OLA,阿雷斯,Ales
50000133,ASR,阿歷山迪亞,Alessandria
50263639,AFA,艾法路,Alfaro
50000134,AFV,阿爾弗維利,Alfortville
50000135,AFT,艾費頓,Alfreton Town
50000136,AGR,阿爾加特,Algard
50000137,AGC,艾基史拉斯,Algeciras
50000138,ALG,阿爾及利亞,Algeria
50000139,ALO,阿爾及利亞男奧足,Algeria Oly Men
50599152,AL2,阿爾及利亞U20,Algeria U20
50472904,WAA,阿爾及利亞女足,Algeria Women
50000140,13A,阿爾及利亞-貝寧,Algeria-Benin
50559150,B13,阿爾及利亞-布基納法索,Algeria-Burkina Faso
50000141,A91,阿爾及利亞-喀麥隆,Algeria-Cameroon
50559149,B12,阿爾及利亞-科特迪瓦,Algeria-Cote d'Ivoire
50000142,A90,阿爾及利亞-埃及,Algeria-Egypt
50000143,A92,阿爾-加蓬,Algeria-Gabon
50000144,14A,阿爾及-馬達加,Algeria-Madagascar
50000145,A93,阿爾及利亞-馬里,Algeria-Mali
50000146,A79,阿爾及利亞-摩洛哥,Algeria-Morocco
50559148,B11,阿爾及利亞-蘇丹,Algeria-Sudan
50000147,A80,阿爾及利亞-突尼西亞,Algeria-Tunisia
50462483,WAH,阿拉馬女足,Alhama Women
50000148,AAO,阿里安沙體育會,Alianza Atletico
50000149,AAZ,FC阿里安沙,Alianza FC
50000150,ALZ,利馬聯,Alianza Lima
50319126,AZF,巴耶杜帕爾聯,Alianza Valledupar
50000151,ALC,阿利根迪,Alicante
50397927,AWG,阿靈索斯女足,Alingsas Women
50000152,ABS,男生隊,All Boys
50000153,ALN,阿里安斯,Allianssi
50000154,ALL,阿洛厄,Alloa Athletic
50285400,AMG,艾馬格羅,Almagro
50263637,AZN,阿爾馬辛,Almazan
50000155,AMC,阿梅爾城,Almere City
50000156,AMR,艾美利亞,Almeria
50000157,AMB,艾米蘭提布朗,Almirante Brown
50000158,ALT,阿爾達,Alta
50563252,AAI,艾東拿魔術,Altona Magic
50000159,ATC,艾川查姆,Altrincham
50334364,AYY,阿恩艾沙,Altyn Asyr
50265824,AVC,艾夫喬治,Alvechurch
50000160,ALV,艾華卡,Alverca
50000161,AWR,阿爾韋斯列迪,Always Ready
50000162,AMZ,阿馬祖路,AmaZulu
50000163,AMA,艾馬多拉,Amadora
50000164,AMT,FC阿馬蘭迪,Amarante FC
50327512,AZS,亞馬遜FC,Amazonas FC
50000165,AMO,阿美利加明尼路,America Mineiro
50430574,AWM,阿美利加明尼路女足,America Mineiro Women
50000166,AMN,阿美利加納泰,America Natal
50000167,ADC,阿美利加,America de Cali
50000168,AMI,阿米卡,Amica Wronki
50000169,AMS,艾米恩斯,Amiens
50000170,AKP,阿馬卡,Amkar Perm
50000171,AMV,艾姆尼維里,Amneville
50000172,AOA,阿莫列比達,Amorebieta
50314192,AMM,阿姆斯特丹FC,Amsterdamsche FC
50000173,ADI,安拿迪亞,Anadia
50000174,ANC,安科納,Ancona
50000175,ANT,安德列治,Anderlecht
50356302,AHW,安德列治女足,Anderlecht Women
50000176,AND,安道爾,Andorra
50000177,ADY,安道爾U21,Andorra U21
50303173,AOW,安道爾女足,Andorra Women
50311170,ANX,安德拉特斯,Andratx
50462464,AIW,安尼諾伊女足,Anenii Noi Women
50353873,ACW,天使城女足,Angel City Women
50000178,AGH,安祖荷姆斯,Angelholms
50000179,SOA,昂熱,Angers SCO
50000180,AGO,安哥拉,Angola
50361308,AG2,安哥拉U20,Angola U20
50305644,AAW,安哥拉女足,Angola Women
50311495,AOE,昂古萊姆,Angouleme
50330385,AGL,安圭拉,Anguilla
50462487,FWG,安卡拉青年體育會女足,Ankara Fomget Genclik Women
50000181,ANA,安南,Annan Athletic
50000182,ANN,FC安納西,Annecy FC
50000183,ANO,安羅科薩斯,Anorthosis
50282194,AEE,安山綠人,Ansan Greeners
2261,ATY,安塔萊亞,Antalyaspor
50000184,ANG,安提瓜GFC,Antigua GFC
50000185,AGB,安提瓜和巴布達,Antigua and Barbuda
50000186,ATF,安圖法加斯達,Antofagasta
50000187,ANW,安特衛普,Antwerp
50000188,ANZ,安治,Anzhi
50000189,APL,阿波羅利馬素,Apollon Limassol
50462432,WOO,阿波羅利馬素女足,Apollon Limassol Women
50000190,ABU,阿拉比,Arabe Unido
50000191,AGU,FC阿拉瓜,Aragua FC
50311171,AAF,艾蘭甸拿CF,Arandina CF
50000192,AYV,艾拉華特耶烈萬,Ararat Yerevan
50000193,ARA,艾拉華特阿美尼亞,Ararat-Armenia
50462421,AXV,阿拉茲納希契凡,Araz-Naxcivan
50000194,AFC,艾布亞夫,Arbroath
50000195,ARC,FC阿爾卡艾,Arcahaie FC
50462427,AKL,阿達克爾賈利,Arda Kardzhali
50000196,ARE,阿雷馬,Arema
50263648,AEC,阿雷納斯會,Arenas Club
50000197,ARD,阿倫達爾,Arendal
50263621,AEI,阿倫泰羅,Arenteiro
50000198,ARO,阿雷素,Arezzo
50000199,ARG,阿根廷,Argentina
50000200,ATO,阿根廷男奧足,Argentina Oly Men
50000201,AR2,阿根廷U20,Argentina U20
50312512,AR3,阿根廷U23,Argentina U23
50000202,AGW,阿根廷女足,Argentina Women
50323131,A2W,阿根廷女足U20,Argentina Women U20
50000203,W51,阿根廷-比利時,Argentina-Belgium
50000204,C10,阿根廷-玻利維亞,Argentina-Bolivia
50000205,C01,阿根廷-巴西,Argentina-Brazil
50000206,Y13,阿根廷-喀麥隆,Argentina-Cameroon
50000207,C02,阿根廷-智利,Argentina-Chile
50000208,C05,阿根廷-哥倫比亞,Argentina-Colombia
50331284,C77,阿根廷-哥斯達黎加,Argentina-Costa Rica
50000209,F47,阿根廷-科特迪瓦,Argentina-Cote d'Ivoire
50000210,W52,阿根廷-克羅地亞,Argentina-Croatia
50000211,O37,阿根廷-丹麥,Argentina-Denmark
50000212,C07,阿根廷-厄瓜多,Argentina-Ecuador
50000213,W07,阿根廷-英格蘭,Argentina-England
50000214,F19,阿根廷-法國,Argentina-France
50287503,09Y,阿根廷-岡比亞,Argentina-Gambia
50000215,F31,阿根廷-德國,Argentina-Germany
50287505,11Y,阿根廷-以色列,Argentina-Israel
50000216,F30,阿根廷-意大利,Argentina-Italy
50000217,O38,阿根廷-日本,Argentina-Japan
50000218,Y15,阿根廷-南韓,Argentina-Korea Republic
50000219,C06,阿根廷-墨西哥,Argentina-Mexico
50346604,08O,阿根廷-摩洛哥,Argentina-Morocco
50000220,F20,阿根廷-荷蘭,Argentina-Netherlands
50287502,08Y,阿根廷-新西蘭,Argentina-New Zealand
50539963,Y52,阿根廷-挪威,Argentina-Norway
50331283,C76,阿根廷-巴拿馬,Argentina-Panama
50000221,C04,阿根廷-巴拉圭,Argentina-Paraguay
50000222,C09,阿根廷-秘魯,Argentina-Peru
50000223,F40,阿根廷-葡萄牙,Argentina-Portugal
50000224,C53,阿根廷-卡塔爾,Argentina-Qatar
50000225,W06,阿根廷-西班牙,Argentina-Spain
50287506,12Y,阿根廷-突尼西亞,Argentina-Tunisia
50287501,07Y,阿根廷-美國,Argentina-USA
50000226,C03,阿根廷-烏拉圭,Argentina-Uruguay
50287504,10Y,阿根廷-烏茲別克,Argentina-Uzbekistan
50000227,C08,阿根廷-委內瑞拉,Argentina-Venezuela
50400775,RMM,阿根廷人MM,Argentino MM
50322731,ADQ,基爾梅斯阿根廷人,Argentino de Quilmes
50000228,AGJ,小阿根廷人,Argentinos Juniors
50000229,AML,阿里斯利馬素,Aris Limassol
50000230,ARI,阿里斯,Aris Thessaloniki
50000232,AKG,艾卡基迪尼亞,Arka Gdynia
50000233,ARL,阿勒斯,Arles
50000234,ARY,阿尼斯城,Arlesey Town
50000235,AAA,阿馬達爾,Armadale
50000236,ARM,阿美尼亞,Armenia
50000237,AMY,阿美尼亞U21,Armenia U21
50303172,ARW,阿美尼亞女足,Armenia Women
50353910,AJW,阿納巴莊那女足,Arna-Bjornar Women
50308222,AOS,阿路薩SC,Arosa SC
50000238,AOU,阿洛卡,Arouca
50000239,ARR,阿拉斯,Arras
50000240,ARS,阿仙奴,Arsenal
50289785,AVT,迪瓦特兵工廠,Arsenal Tivat
50000241,ATU,圖拉兵工廠,Arsenal Tula
50355596,FAW,阿仙奴女足,Arsenal Women
50569483,68U,阿仙奴-阿特蘭大,Arsenal-Atalanta
50324153,21U,阿仙奴-馬德里體育會,Arsenal-Atletico Madrid
50324155,23U,阿仙奴-巴塞隆拿,Arsenal-Barcelona
50407743,Q15,阿仙奴-拜仁慕尼黑,Arsenal-Bayern Munich
50407741,Q13,阿仙奴-賓菲加,Arsenal-Benfica
50569478,63U,阿仙奴-車路士,Arsenal-Chelsea
50324154,22U,阿仙奴-多蒙特,Arsenal-Dortmund
50407745,Q17,阿仙奴-飛燕諾,Arsenal-Feyenoord
50569479,64U,阿仙奴-加拉塔沙雷,Arsenal-Galatasaray
50407746,Q18,阿仙奴-國際米蘭,Arsenal-Inter Milan
50407744,Q16,阿仙奴-利華古遜,Arsenal-Leverkusen
50407742,Q14,阿仙奴-里爾,Arsenal-Lille
50569480,65U,阿仙奴-利物浦,Arsenal-Liverpool
50569482,67U,阿仙奴-曼城,Arsenal-Manchester City
50324156,24U,阿仙奴-巴黎聖日耳門,Arsenal-Paris Saint Germain
50569481,66U,阿仙奴-皇家馬德里,Arsenal-Real Madrid
50000242,ARP,帕沙卡,Artmedia Petrzalka
50330387,ARU,阿魯巴,Aruba
50000243,ASE,阿薩尼,Asane
50353909,WAN,阿薩尼女足,Asane Women
50000244,ASC,阿斯科利,Ascoli
50000245,W15,亞洲,Asia
50000246,ASK,艾斯卡,Asker
50000247,ASY,阿西里斯卡,Assyriska
50000248,ATP,卓普利斯,Asteras Tripolis
50000249,ASV,阿士東維拉,Aston Villa
50355597,AVW,阿士東維拉女足,Aston Villa Women
50407768,Q39,阿士東維拉-賓菲加,Aston Villa-Benfica
50324174,C60,阿士東維拉-布魯日,Aston Villa-Bruges
50407769,Q40,阿士東維拉-多蒙特,Aston Villa-Dortmund
50407771,Q42,阿士東維拉-飛燕諾,Aston Villa-Feyenoord
50324173,C59,阿士東維拉-費倫天拿,Aston Villa-Fiorentina
50407770,Q41,阿士東維拉-里爾,Aston Villa-Lille
50324175,C61,阿士東維拉-PAOK,Aston Villa-PAOK
50324172,C58,阿士東維拉-柏辛域陀尼亞,Aston Villa-Viktoria Plzen
50000250,WDF,禾爾多夫,Astoria Walldorf
50000251,ASG,艾斯特拉,Astra Giurgiu
50000252,ATA,阿特蘭大,Atalanta
50569520,06W,阿特蘭大-波杜基林特,Atalanta-Bodo Glimt
50324170,R99,阿特蘭大-韋斯咸,Atalanta-West Ham
50599716,ABN,阿特比森,Atert Bissen
50585201,ATH,競技體育會,Athletic Club MG
50000253,ALP,帕拉尼恩斯,Athletico Paranaense
50462475,AWW,阿斯隆女足,Athlone Town Women
50000254,ATB,阿特蘭大銀猩,Atlanta Silverbacks
50000255,ALU,阿特蘭大聯,Atlanta Utd
50000256,ATZ,阿蘭達斯,Atlantas
50000257,ATT,阿蘭特,Atlante
50000258,ATL,阿特拿斯,Atlas
50353921,AWT,阿特拿斯女足,Atlas Women
50541826,LDE,利達體育會CE,Atletic Lleida CE
50000259,ACE,艾斯卡迪斯體育會,Atletic d'Escaldes
50308211,AOG,艾斯托加體育會,Atletico Astorga
50000260,ALE,阿特蘭大競技,Atletico Atlanta
50000261,ABA,巴利阿利斯,Atletico Baleares
50397930,BUA,布卡拉曼格體育會,Atletico Bucaramanga
50000262,ACP,體育會,Atletico CP
50000263,CLQ,洛基城,Atletico Ciudad Lorqui
50000264,AGS,戈亞尼恩斯,Atletico Goianiense
50000265,GRU,格魯體育會,Atletico Grau
50000266,ATJ,青年體育會,Atletico Junior
50334216,APZ,拉巴斯體育會,Atletico La Paz
50308204,ASS,盧干尼斯體育會,Atletico Lugones
50000267,ATM,馬德里體育會,Atletico Madrid
50356287,AMW,馬德里體育會女足,Atletico Madrid Women
50569512,97U,馬德里體育會-阿特蘭大,Atletico Madrid-Atalanta
2724,U1C,馬體會-拜仁,Atletico Madrid-Bayern Munich
2737,U1Q,馬體會-賓菲加,Atletico Madrid-Benfica
50407764,U1Q,馬德里體育會-賓菲加,Atletico Madrid-Benfica
50000268,U70,馬德里體育會-多蒙特,Atletico Madrid-Dortmund
50407766,Q37,馬德里體育會-飛燕諾,Atletico Madrid-Feyenoord
50569511,96U,馬德里體育會-加拉塔沙雷,Atletico Madrid-Galatasaray
50407767,Q38,馬德里體育會-國際米蘭,Atletico Madrid-Inter Milan
50000269,U92,馬體會-祖雲達斯,Atletico Madrid-Juventus
50000270,U93,馬體會-李斯特,Atletico Madrid-Leicester
50407765,Q36,馬德里體育會-里爾,Atletico Madrid-Lille
2731,U1K,馬體會-曼城,Atletico Madrid-Man City
50000271,U71,馬體會-曼聯,Atletico Madrid-Man Utd
50000272,U85,馬體會-摩納哥,Atletico Madrid-Monaco
50000273,U83,馬體會-PSG,Atletico Madrid-PSG
50000274,U84,馬體會-波圖,Atletico Madrid-Porto
2726,U1E,馬體會-皇馬,Atletico Madrid-Real Madrid
2735,U1O,馬體會-禾夫斯堡,Atletico Madrid-Wolfsburg
50000275,AMH,曼查雷亞爾體育會,Atletico Mancha Real
50000276,ALM,明尼路,Atletico Mineiro
50562354,WMI,明尼路女足,Atletico Mineiro Women
50334217,MRL,莫雷利亞體育會,Atletico Morelia
50000277,ATN,國民體育會,Atletico Nacional
50562347,AOT,渥太華體育會,Atletico Ottawa
50000279,PPJ,彭度查體育會,Atletico Pantoja
50376069,APA,帕索體育會,Atletico Paso
50000280,RAE,拉費爾拿,Atletico Rafaela
50000281,SLS,聖路易斯體育會,Atletico San Luis
50353924,AWL,聖路易斯體育會女足,Atletico San Luis Women
50000282,ASQ,桑盧基安奴,Atletico Sanluqueno
50000283,TUC,圖庫曼體育會,Atletico Tucuman
50000284,AVZ,委內瑞拉體育會,Atletico Venezuela
50000285,ATS,艾杜美圖斯,Atromitos
50000286,ATV,阿維達貝治,Atvidabergs
50308224,AET,阿辛尼達,Atzeneta
50000287,ABV,奧巴維利亞斯,Aubervilliers
50000288,OKC,奧卡斯,Aucas
50000289,ACL,奧前歷克,Auchinleck Talbot
50000290,AUC,奧克蘭,Auckland City
50331714,AUF,奧克蘭FC,Auckland FC
50289779,FKA,艾達,Auda
50482956,ACG,切里尼奧拉,Audace Cerignola
50000291,ADX,奧達斯,Audax Italiano
50000292,AUD,奧達斯聖保羅,Audax Sao Paulo
50000293,AUE,奧厄,Aue
50000294,AUG,奧格斯堡,Augsburg
50000295,AUL,奧利拉克,Aurillac
50000296,AUR,奧羅拉,Aurora
50000297,AZX,奧斯丁阿迪斯,Austin Aztex
50000298,AUT,FC奧斯汀,Austin FC
50000299,AUA,澳洲,Australia
50000300,AUO,澳洲男奧足,Australia Oly Men
50000301,AU2,澳洲U20,Australia U20
50000302,AU3,澳洲U23,Australia U23
50000303,AUW,澳洲女足,Australia Women
50240657,AW2,澳洲女足U20,Australia Women U20
50329452,AW3,澳洲女足U23,Australia Women U23
50000304,P14,澳洲-巴林,Australia-Bahrain
50000305,P10,澳洲-中國,Australia-China
50000306,P03,澳洲-伊朗,Australia-Iran
50000307,P04,澳洲-伊拉克,Australia-Iraq
50000308,P01,澳洲-日本,Australia-Japan
50000309,P11,澳洲-約旦,Australia-Jordan
50000310,P08,澳洲-北韓,Australia-Korea DPR
50000311,P02,澳洲-南韓,Australia-Korea Republic
50000312,P13,澳洲-科威特,Australia-Kuwait
50296636,L16,澳洲-荷蘭,Australia-Netherlands
50000313,W39,澳洲-新西蘭,Australia-New Zealand
50296638,L18,澳洲-挪威,Australia-Norway
50000314,P12,澳洲-阿曼,Australia-Oman
50316046,86A,澳洲-巴勒斯坦,Australia-Palestine
50570276,P79,澳洲-菲律賓,Australia-Philippines
50000315,P09,澳洲-卡塔爾,Australia-Qatar
50000316,P05,澳洲-沙特,Australia-Saudi Arabia
50296637,L17,澳洲-南非,Australia-South Africa
50296635,L15,澳洲-瑞士,Australia-Switzerland
50000317,P43,澳洲-敘利亞,Australia-Syria
3313,P70,澳洲-泰國,Australia-Thailand
50316045,P70,澳洲-泰國,Australia-Thailand
50000318,P07,澳洲-阿聯酋,Australia-United Arab Emirates
50000319,P06,澳洲-烏茲別克,Australia-Uzbekistan
50560779,B38,澳洲-越南,Australia-Vietnam
50000320,AUS,奧地利,Austria
50000321,AKT,奧地利卡爾頓,Austria Karnten
50000322,AT2,奧地利U20,Austria U20
50000323,AUY,奧地利U21,Austria U21
50000324,AUV,奧地利維也納,Austria Vienna
50462420,WAV,奧地利維也納女足,Austria Vienna Women
50000325,ASW,奧地利女足,Austria Women
50334184,AA2,奧地利女足U20,Austria Women U20
50263643,AAU,奧托爾,Autol
50000326,AUX,歐塞爾,Auxerre
50000327,AVA,艾華爾,Avai
50000328,AGK,艾雲加特庫斯克,Avangard Kursk
50000329,AVL,艾維連奴,Avellino
50000330,AVE,艾維斯,Aves
50000331,AVO,阿維安,Avion
50000332,AVF,福岡黃蜂,Avispa Fukuoka
50313297,OCC,亞禾尼OCC,Avoine OCC
50000333,AVD,艾雲達爾,Avondale
50000334,AVR,阿夫朗甚,Avranches
50000335,IGS,阿耶古祖,Ayacucho
50000336,AYU,艾爾,Ayr United
50558124,ATY,大城聯,Ayutthaya Utd
